No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
951,Decadal,459562,421081,TRUE,-2.3545392,0.26436824,0.28541112,0.251538275,0.88081545,0.8722834,9.645599598,0.794899391
954,Annual,504355,366275,FALSE,-0.4306481,0.43927568,0.49788877,0.595734632,1.1053019,0.7737095,12.06624654,1.636975149
976,Annual,630528,160933,TRUE,-783.84735,-4.762567,0.72336173,0.65917824,6.5958166,2.3481636,1.571917365,0.314604306
983,Multiannual,615641,156674,TRUE,-1871.8203,-0.14358294,0.5696028,0.528895932,0.045600526,0.53993374,23.29696991,0.513877957
999,Multiannual,529955,398605,FALSE,-40.778217,-0.25520134,0.6142471,0.565217391,2.0807586,0.49138817,4.967610983,0.837031793
1000,Annual,427288,129080,TRUE,-62.244617,-0.19601619,0.70608723,0.742309586,0.12025195,0.2449415,21.30998311,2.370802562
1004,Annual,450165,166985,TRUE,-52.36978,-1.0293262,0.4578413,0.458977374,2.6264558,2.0857687,1.197005077,0.275524783
1006,Multiannual,543076,179844,FALSE,-24.351244,-2.3544595,-0.13578843,-0.195973558,4.112128,0.47362795,1.032347652,0.65583301
1016,Annual,561803,157429,TRUE,-1026.1797,-5.6762943,0.21178845,0.195974936,0.40136883,7.602533,31.02618447,0.595859192
1028,Decadal,621465,160512,TRUE,-100.75809,-0.17605603,0.55506504,0.537183317,0.03069638,0.5044293,5.115077501,0.493190441
1041,Annual,502455,349805,TRUE,-34751.97,-9.939638,0.33412594,0.349905282,0.18776043,11.889196,28.9743057,0.126485996
1045,Multiannual,306798,93736,TRUE,-4730.53,-12.948985,0.34620923,0.420702144,3.1517131,14.766544,14.87392815,0.475894864
1062,Annual,566590,118030,FALSE,-104.46312,-5.682456,0.3931908,0.356088064,7.648739,1.2851827,1.782758571,1.163287354
1064,Annual,627710,143150,TRUE,-9.429825,0.4283929,0.7580334,0.819496755,0.56556505,0.7181261,11.66378946,1.602148019
1074,Annual,618955,143886,TRUE,-36.66592,0.15543842,0.91460204,0.941320865,0.34197238,0.47751456,90.0818323,9.704221692
1089,Annual,453405,186005,TRUE,-298.32074,-2.6377525,0.6100735,0.72723653,4.068661,2.9143171,0.965132913,0.172909288
1092,Annual,462355,114355,TRUE,-31.876934,-0.001937985,0.89931035,0.886298592,0.34125316,0.2518062,28.0343373,3.251122622
1108,Annual,465875,394485,TRUE,-109.91413,-0.3700087,-0.10704565,0.206007285,0.25224176,0.6963043,15.9485157,1.14080318
1116,Annual,448265,182115,TRUE,-15.721067,-0.24791193,0.16572908,0.084409642,1.6302722,1.6812004,18.59429013,3.195335229
1119,Multiannual,489605,366055,FALSE,-587.8719,-5.2324705,0.77413714,0.812643217,4.923583,5.8371873,1.823101157,0.301510467
